Brand Name,URL,Price,Rating
"Samsung Galaxy S10 Lite (Prism Black, 128 GB)",/samsung-galaxy-s10-lite-prism-black-128-gb/p/itm284b16d93b2f1?pid=MOBFZ8HTN4F7HHSV&lid=LSTMOBFZ8HTN4F7HHSVBUHMR2&marketplace=FLIPKART&srno=s_1_24&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFZ8HTN4F7HHSV.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹42,099",4.5
"Samsung Galaxy A70s (Prism Crush Black, 128 GB)",/samsung-galaxy-a70s-prism-crush-black-128-gb/p/itm8690f29183d3d?pid=MOBFKKGRNTSSPSSZ&lid=LSTMOBFKKGRNTSSPSSZQRLYAX&marketplace=FLIPKART&srno=s_3_49&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFKKGRNTSSPSSZ.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹28,400",4.2
"Samsung Galaxy A70 (Blue, 128 GB)",/samsung-galaxy-a70-blue-128-gb/p/itmffhc74ycjv8vh?pid=MOBFFHC7Z2KGSGH3&lid=LSTMOBFFHC7Z2KGSGH38KBYF3&marketplace=FLIPKART&srno=s_3_50&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFFHC7Z2KGSGH3.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹24,299",4.4
"Samsung Galaxy A70 (White, 128 GB)",/samsung-galaxy-a70-white-128-gb/p/itmffhc7n8grkazb?pid=MOBFFHC76PNFBXVG&lid=LSTMOBFFHC76PNFBXVGKGFHAU&marketplace=FLIPKART&srno=s_3_51&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFFHC76PNFBXVG.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹24,299",4.4
"Samsung Galaxy A20s (Black, 64 GB)",/samsung-galaxy-a20s-black-64-gb/p/itm031a57b9d6b08?pid=MOBFKKGRPQDS98WH&lid=LSTMOBFKKGRPQDS98WHCLUP0V&marketplace=FLIPKART&srno=s_3_52&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFKKGRPQDS98WH.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹13,699",4.4
"Samsung Galaxy S10e (Prism Black, 128 GB)",/samsung-galaxy-s10e-prism-black-128-gb/p/itmfdyp6dsv8wtem?pid=MOBFDNHAVZQ7SDDQ&lid=LSTMOBFDNHAVZQ7SDDQWAUPGV&marketplace=FLIPKART&srno=s_3_53&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFDNHAVZQ7SDDQ.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹50,599",4.5
"Samsung Galaxy A30s (Prism Crush Violet, 64 GB)",/samsung-galaxy-a30s-prism-crush-violet-64-gb/p/itme6572ffd3a3cd?pid=MOBFK4REENZZFHHK&lid=LSTMOBFK4REENZZFHHK5GIJYR&marketplace=FLIPKART&srno=s_3_54&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFK4REENZZFHHK.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹15,899",4.3
"Samsung Galaxy A30s (Prism Crush Violet, 128 GB)",/samsung-galaxy-a30s-prism-crush-violet-128-gb/p/itmb6bec3b228ab7?pid=MOBFNZGE5GNBCGVZ&lid=LSTMOBFNZGE5GNBCGVZHYVVCL&marketplace=FLIPKART&srno=s_3_55&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFNZGE5GNBCGVZ.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹16,856",4.3
"Samsung Galaxy A70s (Prism Crush Black, 128 GB)",/samsung-galaxy-a70s-prism-crush-black-128-gb/p/itmd13036f356adf?pid=MOBFKKGRRKCB9WEH&lid=LSTMOBFKKGRRKCB9WEHGGIAKR&marketplace=FLIPKART&srno=s_3_56&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFKKGRRKCB9WEH.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹30,500",4.4
"Samsung Galaxy A70s (Prism Crush Red, 128 GB)",/samsung-galaxy-a70s-prism-crush-red-128-gb/p/itmff05153bfcfa0?pid=MOBFKKGRHVDRVUY6&lid=LSTMOBFKKGRHVDRVUY6RCARTS&marketplace=FLIPKART&srno=s_3_57&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFKKGRHVDRVUY6.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹30,500",4.4
"Samsung Galaxy S20 Ultra (Cosmic Gray, 128 GB)",/samsung-galaxy-s20-ultra-cosmic-gray-128-gb/p/itma25b4687846b4?pid=MOBFZXZ22CWZ2JZB&lid=LSTMOBFZXZ22CWZ2JZB7GKWML&marketplace=FLIPKART&srno=s_3_58&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFZXZ22CWZ2JZB.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹97,999",4
"Samsung Galaxy S20 (Cosmic Gray, 128 GB)",/samsung-galaxy-s20-cosmic-gray-128-gb/p/itme0dd8ba18500f?pid=MOBFZXZ2VCCBNYHF&lid=LSTMOBFZXZ2VCCBNYHFMIRDZR&marketplace=FLIPKART&srno=s_3_59&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFZXZ2VCCBNYHF.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹70,599",4.1
"Samsung Galaxy C7 Pro (Navy Blue, 64 GB)",/samsung-galaxy-c7-pro-navy-blue-64-gb/p/itmew8qbncvqfhh4?pid=MOBEW8QBJQYYDKKR&lid=LSTMOBEW8QBJQYYDKKRR5ZYHH&marketplace=FLIPKART&srno=s_3_60&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBEW8QBJQYYDKKR.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹26,600",4.4
"Samsung Galaxy Note 9 (Metallic Copper, 128 GB)",/samsung-galaxy-note-9-metallic-copper-128-gb/p/itmf7x9zfghwaefw?pid=MOBF7HXTC2J7YZ2E&lid=LSTMOBF7HXTC2J7YZ2EZVTVX6&marketplace=FLIPKART&srno=s_3_61&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBF7HXTC2J7YZ2E.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹71,599",4.6
"Samsung Galaxy A30s (Prism Crush White, 128 GB)",/samsung-galaxy-a30s-prism-crush-white-128-gb/p/itmac7e3f9b42dfa?pid=MOBFNZGE7KUYX5YK&lid=LSTMOBFNZGE7KUYX5YKOPYTCN&marketplace=FLIPKART&srno=s_3_62&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFNZGE7KUYX5YK.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹16,856",4.3
Samsung Metro 313,/samsung-metro-313/p/itme9vqfva8wswqh?pid=MOBE9VQYGV9YQMB3&lid=LSTMOBE9VQYGV9YQMB38YYRQY&marketplace=FLIPKART&srno=s_3_63&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBE9VQYGV9YQMB3.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹2,315",4.1
"Samsung Galaxy A70s (Prism Crush Red, 128 GB)",/samsung-galaxy-a70s-prism-crush-red-128-gb/p/itm07762942014f5?pid=MOBFKKGRN7DNW9Q8&lid=LSTMOBFKKGRN7DNW9Q8HPDAA8&marketplace=FLIPKART&srno=s_3_64&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFKKGRN7DNW9Q8.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹28,400",4.2
"Samsung Galaxy A10s (Blue, 32 GB)",/samsung-galaxy-a10s-blue-32-gb/p/itm813d5cf8aadf6?pid=MOBFJPAQWGQPZPVE&lid=LSTMOBFJPAQWGQPZPVEDMI7A4&marketplace=FLIPKART&srno=s_3_65&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFJPAQWGQPZPVE.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹9,480",4.4
"Samsung Galaxy A2 Core (Dark Gray, 16 GB)",/samsung-galaxy-a2-core-dark-gray-16-gb/p/itmffag4burrhapb?pid=MOBFFAG4EGT6HYZZ&lid=LSTMOBFFAG4EGT6HYZZRJSWGZ&marketplace=FLIPKART&srno=s_3_66&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFFAG4EGT6HYZZ.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹5,599",4.2
Samsung Guru FM Plus,/samsung-guru-fm-plus/p/itme9q93vhymngzj?pid=MOBE9Q93JDZNTEEA&lid=LSTMOBE9Q93JDZNTEEAMFDT4E&marketplace=FLIPKART&srno=s_3_67&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBE9Q93JDZNTEEA.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹1,599",4.2
Samsung Guru Music 2,/samsung-guru-music-2/p/itmebfnmhjcbthhk?pid=MOBF7HYWUXJFP7YB&lid=LSTMOBF7HYWUXJFP7YBINCLQG&marketplace=FLIPKART&srno=s_3_68&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBF7HYWUXJFP7YB.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹1,877",4.3
"Samsung Galaxy A70 (Black, 128 GB)",/samsung-galaxy-a70-black-128-gb/p/itmffhc79jwkwzrw?pid=MOBFFHC7GQZCF8YM&lid=LSTMOBFFHC7GQZCF8YM3MGQPA&marketplace=FLIPKART&srno=s_3_69&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFFHC7GQZCF8YM.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹24,299",4.4
"Samsung Galaxy Note 9 (Alpine White, 128 GB)",/samsung-galaxy-note-9-alpine-white-128-gb/p/itmfbcc5prwh2gbj?pid=MOBFBCC549GUDSXS&lid=LSTMOBFBCC549GUDSXSARLV4K&marketplace=FLIPKART&srno=s_3_70&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFBCC549GUDSXS.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹71,599",4.6
"Samsung Galaxy A30s (Prism Crush Black, 64 GB)",/samsung-galaxy-a30s-prism-crush-black-64-gb/p/itm5482f41b732de?pid=MOBFK4REVNMAUGCJ&lid=LSTMOBFK4REVNMAUGCJLJ61V3&marketplace=FLIPKART&srno=s_3_71&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBFK4REVNMAUGCJ.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹15,899",4.3
"Samsung Galaxy S3 Neo (Marble White, 16 GB)",/samsung-galaxy-s3-neo-marble-white-16-gb/p/itme3q7q93m77cg6?pid=MOBDUZSYZCA7HDYW&lid=LSTMOBDUZSYZCA7HDYWB6FALV&marketplace=FLIPKART&srno=s_3_72&otracker=search&fm=organic&iid=384a1737-54a8-42ff-aa78-48e3cd653193.MOBDUZSYZCA7HDYW.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹22,140",4.2
"Samsung Galaxy A70s (Prism Crush White, 128 GB)",/samsung-galaxy-a70s-prism-crush-white-128-gb/p/itm57a85273f03b6?pid=MOBFKKGRJCHHRJS5&lid=LSTMOBFKKGRJCHHRJS5Z6YUTR&marketplace=FLIPKART&srno=s_4_73&otracker=search&fm=organic&iid=bf0eba86-d024-4457-9aed-253071f7cbdb.MOBFKKGRJCHHRJS5.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹30,500",4.4
"Samsung Galaxy A30 (White, 64 GB)",/samsung-galaxy-a30-white-64-gb/p/itmfhhqgmbaexzab?pid=MOBFHCRGZZHFRDDA&lid=LSTMOBFHCRGZZHFRDDAI5OHI9&marketplace=FLIPKART&srno=s_4_74&otracker=search&fm=organic&iid=bf0eba86-d024-4457-9aed-253071f7cbdb.MOBFHCRGZZHFRDDA.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹14,799",4.4
"Samsung Galaxy S10 (Prism Blue, 128 GB)",/samsung-galaxy-s10-prism-blue-128-gb/p/itmfdyp6pajfhsvf?pid=MOBFDNHAYZYR5VXE&lid=LSTMOBFDNHAYZYR5VXEY81WFW&marketplace=FLIPKART&srno=s_4_75&otracker=search&fm=organic&iid=bf0eba86-d024-4457-9aed-253071f7cbdb.MOBFDNHAYZYR5VXE.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹58,800",4.6
"Samsung Galaxy A71 (Prism Crush Blue, 128 GB)",/samsung-galaxy-a71-prism-crush-blue-128-gb/p/itmb035e59d58202?pid=MOBFZ4AJJSWKTTAU&lid=LSTMOBFZ4AJJSWKTTAU4NYSSB&marketplace=FLIPKART&srno=s_4_76&otracker=search&fm=organic&iid=bf0eba86-d024-4457-9aed-253071f7cbdb.MOBFZ4AJJSWKTTAU.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹29,899",4.6
"Samsung Galaxy S8 Plus (Coral Blue, 64 GB)",/samsung-galaxy-s8-plus-coral-blue-64-gb/p/itmethrykawm5u68?pid=MOBESYV77M4Q7AUH&lid=LSTMOBESYV77M4Q7AUHAPV3RR&marketplace=FLIPKART&srno=s_4_77&otracker=search&fm=organic&iid=bf0eba86-d024-4457-9aed-253071f7cbdb.MOBESYV77M4Q7AUH.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹53,990",4.6
"Samsung Galaxy S20 (Cloud Pink, 128 GB)",/samsung-galaxy-s20-cloud-pink-128-gb/p/itm8e467fc585444?pid=MOBFZXZ2N3QFFFNZ&lid=LSTMOBFZXZ2N3QFFFNZFEC7TN&marketplace=FLIPKART&srno=s_4_78&otracker=search&fm=organic&iid=bf0eba86-d024-4457-9aed-253071f7cbdb.MOBFZXZ2N3QFFFNZ.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹70,599",4.1
Samsung Guru 1200,/samsung-guru-1200/p/itmeb6w98vmhffjy?pid=MOBDA2CFCQ6CFHTZ&lid=LSTMOBDA2CFCQ6CFHTZTQG2I7&marketplace=FLIPKART&srno=s_4_79&otracker=search&fm=organic&iid=bf0eba86-d024-4457-9aed-253071f7cbdb.MOBDA2CFCQ6CFHTZ.SEARCH&ppt=sp&ppn=sp&ssid=xja60bp7bk0000001586149780980&qH=3910b1e0ccab19bc,"₹1,100",4.3
